neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
Hillcrest Village,2,Moderate Service,10.0,2.8,0.8,0.9,0.9,9.0,1.0897175678205016,115,0.7,18.75,16633.0,13510.0,0.5071886211445067,0.5788730484518178,43.798705999999996,-79.35932
High Park-Swansea,2,Moderate Service,17.0,2.8823529411764706,0.7058823529411765,0.9411764705882353,0.9411764705882353,16.0,0.8485472928575815,125,0.8823529411764706,9.8,23005.0,22105.0,0.496202460009489,0.5744616671882066,43.64468058823529,-79.4764705882353
East End Danforth,2,Moderate Service,16.0,2.875,0.75,0.9375,0.9375,15.0,0.22236155041161804,129,1.0,15.35,21428.0,20867.5,0.5603696007536522,0.5738406136218974,43.68500937499999,-79.30070624999999
Brookhaven-Amesbury,2,Moderate Service,11.0,2.8181818181818183,0.9090909090909091,0.9090909090909091,0.9090909090909091,10.0,0.5752293408617446,98,0.8181818181818182,19.25,17598.0,16922.5,0.551856553222304,0.5722487734741217,43.70247181818181,-79.48910909090911
Steeles,2,Moderate Service,9.0,2.7777777777777777,0.6666666666666666,0.8888888888888888,0.8888888888888888,8.0,0.7039979562856301,119,0.6666666666666666,17.9,23513.0,19195.0,0.6130262982967595,0.5709225316702969,43.81366444444445,-79.31634444444445
Cliffcrest,2,Moderate Service,19.0,2.8947368421052633,0.7894736842105263,0.9473684210526315,0.9473684210526315,18.0,0.5187308003967008,147,0.6842105263157895,14.5,15965.0,14415.0,0.4367214024008914,0.5707481344926951,43.723085263157884,-79.2344
Islington,2,Moderate Service,13.0,2.8461538461538463,0.8461538461538461,0.9230769230769231,0.9230769230769231,12.0,0.8961717043261959,145,0.6923076923076923,12.25,21562.0,14530.0,0.4633350200281926,0.5691583553508546,43.64642615384616,-79.55103076923075
Rosedale-Moore Park,2,Moderate Service,27.0,2.8518518518518516,0.8148148148148148,0.9259259259259259,0.9259259259259259,25.0,1.1189354720389542,92,0.8148148148148148,9.5,20345.0,16602.5,0.42012358706004305,0.5591872897777352,43.681060370370375,-79.3823851851852
L'Amoreaux West,2,Moderate Service,8.0,2.75,0.875,0.875,0.875,7.0,0.6079189022862117,82,1.0,19.65,21331.0,12851.0,0.56963881840825,0.5561597014171953,43.796432499999995,-79.32315
High Park North,2,Moderate Service,10.0,2.8,0.7,0.9,0.9,9.0,0.7654963442838307,97,1.0,14.2,21833.0,21992.5,0.5544782822669669,0.5541603766131168,43.65620700000001,-79.46852999999999
Humbermede,2,Moderate Service,10.0,2.8,0.8,0.9,0.9,9.0,0.5761189148828829,108,0.9,18.0,16245.0,15840.0,0.5080393609886976,0.5499348638666977,43.741972000000004,-79.54310000000001
Annex,2,Moderate Service,29.0,2.7241379310344827,0.7931034482758621,0.8620689655172413,0.8620689655172413,25.0,0.48536094581556993,115,1.0,16.35,28970.0,29440.0,0.7257027420183317,0.5446924801172591,43.67077103448276,-79.40151724137928
Eringate-Centennial-West Deane,2,Moderate Service,16.0,2.875,0.5,0.9375,0.9375,15.0,0.7422040985099758,75,0.625,7.65,18488.0,15932.5,0.3639089334422271,0.5351260266502139,43.65711374999999,-79.5779375
The Beaches,2,Moderate Service,14.0,2.857142857142857,0.6428571428571429,0.9285714285714286,0.9285714285714286,13.0,0.349752903468396,98,0.9285714285714286,8.65,21473.0,19685.0,0.4419696140631143,0.526670035907245,43.670033571428576,-79.30165000000001
Junction Area,2,Moderate Service,12.0,2.8333333333333335,0.8333333333333334,0.9166666666666666,0.9166666666666666,11.0,0.7607217996092948,160,0.9166666666666666,11.15,14043.0,14370.0,0.35984558809738865,0.5214977479264874,43.66762,-79.4718
Leaside-Bennington,2,Moderate Service,17.0,2.8823529411764706,0.7647058823529411,0.9411764705882353,0.9411764705882353,16.0,0.46693452429958937,89,0.7647058823529411,6.35,16588.0,15162.5,0.3154922145757232,0.5110764890564332,43.70225529411764,-79.36825882352942
