Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
Parliament St at Richmond St East,3,,,43.65445,-79.3639,,0,,73,Moss Park
Parliament St at Shuter St,3,,,43.65702,-79.3651,,0,,73,Moss Park
Parliament St at Shuter St,3,,,43.65684,-79.3649,,0,,72,Regent Park
Parliament St at St James Ave,3,,,43.66971,-79.3701,,0,,71,Cabbagetown-South St. James Town
Parliament St at St James Ave South Side,3,,,43.66965,-79.3703,,0,,74,North St. James Town
Parliament St at Wellesley St East North Side,3,,,43.66851,-79.3696,,0,,71,Cabbagetown-South St. James Town
Parliament St at Wellesley St East South Side,3,,,43.66792,-79.3695,,0,,71,Cabbagetown-South St. James Town
Parliament St at Winchester St,3,,,43.66594,-79.3687,,0,,71,Cabbagetown-South St. James Town
Parliament St at Winchester St,3,,,43.66577,-79.3685,,0,,71,Cabbagetown-South St. James Town
Queens Quay East at Lower Sherbourne St,3,,,43.64532,-79.3653,,0,,166,St Lawrence-East Bayfront-The Islands
125 The Queensway,3,,,43.63069,-79.4822,,0,,16,Stonegate-Queensway
134 Park Lawn Rd,3,,,43.62678,-79.4876,,0,,16,Stonegate-Queensway
58 Marine Parade Dr,3,,,43.62669,-79.4769,,0,,161,Humber Bay Shores
88 Park Lawn Rd,3,,,43.62428,-79.4843,,0,,161,Humber Bay Shores
Berry Rd at Ballacaine Dr,3,,,43.63581,-79.4952,,0,,16,Stonegate-Queensway
Berry Rd at Bell Manor Dr,3,,,43.63723,-79.4888,,0,,16,Stonegate-Queensway
Berry Rd at Cloverhill Rd,3,,,43.63696,-79.49,,0,,16,Stonegate-Queensway
Berry Rd at Cloverhill Rd East Side,3,,,43.63674,-79.4904,,0,,16,Stonegate-Queensway
Berry Rd at Glenn Murray Dr,3,,,43.63558,-79.4958,,0,,16,Stonegate-Queensway
Berry Rd at Minstrel Dr,3,,,43.63511,-79.4979,,0,,16,Stonegate-Queensway
Berry Rd at Park Lawn Rd,3,,,43.63592,-79.4941,,0,,16,Stonegate-Queensway
Berry Rd at Park Lawn Rd,3,,,43.63628,-79.4931,,0,,16,Stonegate-Queensway
Berry Rd at Park Lawn Rd East Side,3,,,43.63617,-79.493,,0,,16,Stonegate-Queensway
Berry Rd at Prince Edward Dr South,3,,,43.63493,-79.4993,,0,,16,Stonegate-Queensway
Berry Rd at Stephen Dr,3,,,43.63739,-79.4874,,0,,16,Stonegate-Queensway
Bloor St West at The Kingsway,3,,,43.64991,-79.4995,,0,,16,Stonegate-Queensway
Bloor St West at The Kingsway West Side,3,,,43.65007,-79.4998,,0,,15,Kingsway South
Humber Loop at The Queensway,3,,,43.63112,-79.4789,,0,,16,Stonegate-Queensway
Lake Shore Blvd West at Brookers Lane,3,,,43.62699,-79.479,,0,,161,Humber Bay Shores
Marine Parade Dr (East) at Lake Shore Blvd West,3,,,43.62998,-79.4764,,0,,161,Humber Bay Shores
Marine Parade Dr Loop at Lake Shore Blvd West,3,,,43.62255,-79.4809,,0,,161,Humber Bay Shores
Marine Parade Dr at Silver Moon Dr,3,,,43.62465,-79.4776,,0,,161,Humber Bay Shores
Old Mill Station at Bus Bay 2,3,,,43.6502,-79.495,,0,,15,Kingsway South
Old Mill Station at Bus Bay 3,3,,,43.65032,-79.495,,0,,15,Kingsway South
Opposite 125 The Queensway,3,,,43.63096,-79.4819,,0,,16,Stonegate-Queensway
Opposite 2155 Lake Shore Blvd West,3,,,43.62572,-79.4796,,0,,161,Humber Bay Shores
Opposite 88 Park Lawn Rd,3,,,43.62442,-79.4841,,0,,161,Humber Bay Shores
Park Lawn Rd at Cannon Rd,3,,,43.63298,-79.4919,,0,,16,Stonegate-Queensway
Park Lawn Rd at Gardiner Expressway (Eb Off ramp),3,,,43.62602,-79.4862,,0,,161,Humber Bay Shores
Park Lawn Rd at Gardiner Expressway (Wb On Ramp),3,,,43.62698,-79.4874,,0,,16,Stonegate-Queensway
Park Lawn Rd at Gardiner Expressway (Wb On Ramp),3,,,43.62586,-79.4863,,0,,161,Humber Bay Shores
Park Lawn Rd at Keywell Crt,3,,,43.63482,-79.493,,0,,16,Stonegate-Queensway
Park Lawn Rd at Kinsdale Blvd North Side,3,,,43.6355,-79.493,,0,,16,Stonegate-Queensway
